Name,Input,Output,Protein,RBS,part_rating,scores,release_status,twins,sample_status,part_results,use,group,author,date,distrbution,filename
BBa_K1768003, , , , ,,,Not Released,,Not in stock,,Not Used,iGEM15_Pretoria_UP,Gert Pietersen,2015-09-14,,pgroup=Inverter&show=1.csv
BBa_K1774003, , , , ,,,Not Released,,Not in stock,None,1 Uses,iGEM15_Hong_Kong_HKU,HKU iGEM 2015,2015-09-18,,pgroup=Inverter&show=1.csv
BBa_K185033, , , , ,,,Not Released,,It's complicated,Works,Not Used,iGEM09_SJTU-BioX-Shanghai,Yixin Tao,2009-10-16,,pgroup=Inverter&show=1.csv
BBa_K1960007, , , , ,,,Not Released,,Not in stock,Works,-1 Uses,iGEM16_XMU-China,Zuo Wang,2016-10-08,,pgroup=Inverter&show=1.csv
BBa_K2012000, , , , ,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-08-05,,pgroup=Inverter&show=1.csv
BBa_K2012001, , , , ,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-08-05,,pgroup=Inverter&show=1.csv
BBa_K2012003, , , , ,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-14,,pgroup=Inverter&show=1.csv
BBa_K2012010, , , , ,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-15,,pgroup=Inverter&show=1.csv
BBa_K2012011, , , , ,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-15,,pgroup=Inverter&show=1.csv
BBa_K2012012, , , , ,,,Not Released,,Not in stock,,-1 Uses,iGEM16_HZAU-China,Pan Chu,2016-09-15,,pgroup=Inverter&show=1.csv
BBa_K2055014, , , , ,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_Tec-Monterrey,Raul Garza & Carlos Vasquez,2016-09-28,,pgroup=Inverter&show=1.csv
BBa_K2055015, , , , ,,,Not Released,,Not in stock,None,-1 Uses,iGEM16_Tec-Monterrey,Raul Garza & Carlos Vasquez,2016-09-28,,pgroup=Inverter&show=1.csv
BBa_K223058, , , , ,,,Not Released,,Not in stock,,1 Uses,iGEM09_Stanford,Anusuya Ramasubramanian,2009-10-18,,pgroup=Inverter&show=1.csv
BBa_K249001, , , , ,,,Not Released,,It's complicated,,10 Uses,iGEM09_Lethbridge,Roxanne Shank,2009-08-26,Spring 2017 Distribution;Spring 2016 Distribution,pgroup=Inverter&show=1.csv
